oil,emoji,physical,emotional,mantra,bg_hex,audio_cue
Лаванда,💜,"Расслабление, сон, кожа","Снимает тревогу, заземляет",«Дышу спокойно. Всё под контролем»,#BCA7D6,мягкий колокольчик
Ладан,🕯️,"Поддержка дыхания, кожи, концентрации","Фокус, опора, ценности",«Слышу себя. Делаю главное»,#C8B7A6,низкий дрон
Мята перечная,🌿,"Тонус, бодрость","Ясность мыслей, смелость",«Просыпаюсь и двигаюсь»,#A8D8B9,легкий «вжух»
Апельсин дикий,🍊,"Пищеварение, лёгкость","Радость, оптимизм",«Разрешаю себе радоваться»,#FFD19A,солнечная арпеджио
Розмарин,🌱,"Память, концентрация","Собранность, дисциплина",«Фокус держится легко»,#B5D6BF,щелчок метронома
Бессмертник,🌼,"Кожа, восстановление",Принятие ценности,«Я выбираю бережность к себе»,#E9D87B,золотой шорох
Грейпфрут,🍊✨,Тонус кожи,"Лёгкость, -5 лет",«Лёгкость — мой стиль»,#FFC2A1,игривые колокольчики
Кипарис,🌲,"Дыхание, кровообращение","Поток, доверие переменам","«Дышу, и всё течёт»",#7BAA9F,лесной ветер
Лимон,🍋,"Детокс, очистка",Свежий взгляд,«Чисто. Просто. Светло»,#FFF1A6,чистый «тин!»
Герань,🌸,"Кожа, гормональный баланс","Нежность, женская сила",«Я — в гармонии с собой»,#F2B7C6,лёгкая арфа
Эвкалипт,🌬️,Свободное дыхание,Прояснение,«Вдох-выдох — и легче»,#B9E0DA,шум воздуха
Чайное дерево,🌿🛡️,"Кожа, защита","Границы, чистота",«Я выбираю чистые связи»,#CFE8CC,короткий «пинг»
Иланг-иланг,🌺,"Расслабление мышц, кожа","Чувственность, мягкость",«Я нежна и желанна»,#F9D6D0,томная нота
Ветивер,🌾,Глубокий сон,"Заземление, безопасность",«Меня держит земля»,#B6A38A,низкий бас
Пачули,🍂,"Кожа, восстановление",Принятие тела,«Мне хорошо в моём теле»,#C1A68B,ламповый винил
Бергамот,🍃,"Пищеварение, нервы","Легкость, анти-тревога",«Расслабляюсь и улыбаюсь»,#D5E8B6,солнечный бриз
Копайба,🟫,Спокойствие,Внутренний ресурс,«Я в безопасности»,#D9C2A7,мягкий «бум»
Frankincense Touch,🕯️✨,Кожа точечно,Сосредоточенность,«Я слышу своё сердце»,#D5C9B8,гармония
Serenity,😴,"Сон, напряжение",Умиротворение,«Спокойствие — моя сила»,#BACAE3,колыбельный пад
Adaptive,🌀,"Стресс, адаптация",Гибкость,«Я легко подстраиваюсь»,#BEE3E0,нежный синт
Базилик,✨,Общее действие,Эмоциональное действие,«Мантра Базилик»,#DDDDDD,звук
Кардамон,✨,Общее действие,Эмоциональное действие,«Мантра Кардамон»,#DDDDDD,звук
Корица,✨,Общее действие,Эмоциональное действие,«Мантра Корица»,#DDDDDD,звук
Гвоздика,✨,Общее действие,Эмоциональное действие,«Мантра Гвоздика»,#DDDDDD,звук
Имбирь,✨,Общее действие,Эмоциональное действие,«Мантра Имбирь»,#DDDDDD,звук
Мелисса,✨,Общее действие,Эмоциональное действие,«Мантра Мелисса»,#DDDDDD,звук
Орегано,✨,Общее действие,Эмоциональное действие,«Мантра Орегано»,#DDDDDD,звук
Пальмароза,✨,Общее действие,Эмоциональное действие,«Мантра Пальмароза»,#DDDDDD,звук
Сандал,✨,Общее действие,Эмоциональное действие,«Мантра Сандал»,#DDDDDD,звук
Кедр,✨,Общее действие,Эмоциональное действие,«Мантра Кедр»,#DDDDDD,звук
Фенхель,✨,Общее действие,Эмоциональное действие,«Мантра Фенхель»,#DDDDDD,звук
Анис,✨,Общее действие,Эмоциональное действие,«Мантра Анис»,#DDDDDD,звук
Майоран,✨,Общее действие,Эмоциональное действие,«Мантра Майоран»,#DDDDDD,звук
Чабрец,✨,Общее действие,Эмоциональное действие,«Мантра Чабрец»,#DDDDDD,звук
Мелалеука,✨,Общее действие,Эмоциональное действие,«Мантра Мелалеука»,#DDDDDD,звук
Лаванда Spike,✨,Общее действие,Эмоциональное действие,«Мантра Лаванда Spike»,#DDDDDD,звук
Шалфей,✨,Общее действие,Эмоциональное действие,«Мантра Шалфей»,#DDDDDD,звук
Иссоп,✨,Общее действие,Эмоциональное действие,«Мантра Иссоп»,#DDDDDD,звук
Туя,✨,Общее действие,Эмоциональное действие,«Мантра Туя»,#DDDDDD,звук
Мирра,✨,Общее действие,Эмоциональное действие,«Мантра Мирра»,#DDDDDD,звук
Тархун,✨,Общее действие,Эмоциональное действие,«Мантра Тархун»,#DDDDDD,звук
Кориандр,✨,Общее действие,Эмоциональное действие,«Мантра Кориандр»,#DDDDDD,звук
Кунжут,✨,Общее действие,Эмоциональное действие,«Мантра Кунжут»,#DDDDDD,звук
Тмин,✨,Общее действие,Эмоциональное действие,«Мантра Тмин»,#DDDDDD,звук
Куркума,✨,Общее действие,Эмоциональное действие,«Мантра Куркума»,#DDDDDD,звук
Гальбанум,✨,Общее действие,Эмоциональное действие,«Мантра Гальбанум»,#DDDDDD,звук
Ладан Carterii,✨,Общее действие,Эмоциональное действие,«Мантра Ладан Carterii»,#DDDDDD,звук
Ладан Serrata,✨,Общее действие,Эмоциональное действие,«Мантра Ладан Serrata»,#DDDDDD,звук
Пихта,✨,Общее действие,Эмоциональное действие,«Мантра Пихта»,#DDDDDD,звук
Сосна,✨,Общее действие,Эмоциональное действие,«Мантра Сосна»,#DDDDDD,звук
Дугласова пихта,✨,Общее действие,Эмоциональное действие,«Мантра Дугласова пихта»,#DDDDDD,звук
Арборвитаэ,✨,Общее действие,Эмоциональное действие,«Мантра Арборвитаэ»,#DDDDDD,звук
Чёрный перец,✨,Общее действие,Эмоциональное действие,«Мантра Чёрный перец»,#DDDDDD,звук
Ямайский перец,✨,Общее действие,Эмоциональное действие,«Мантра Ямайский перец»,#DDDDDD,звук
Мускат,✨,Общее действие,Эмоциональное действие,«Мантра Мускат»,#DDDDDD,звук
Кумин,✨,Общее действие,Эмоциональное действие,«Мантра Кумин»,#DDDDDD,звук
Гвоздика Bud,✨,Общее действие,Эмоциональное действие,«Мантра Гвоздика Bud»,#DDDDDD,звук
Лимонная трава,✨,Общее действие,Эмоциональное действие,«Мантра Лимонная трава»,#DDDDDD,звук
Цитронелла,✨,Общее действие,Эмоциональное действие,«Мантра Цитронелла»,#DDDDDD,звук
Лайм,✨,Общее действие,Эмоциональное действие,«Мантра Лайм»,#DDDDDD,звук
Мандарин,✨,Общее действие,Эмоциональное действие,«Мантра Мандарин»,#DDDDDD,звук
Танжерин,✨,Общее действие,Эмоциональное действие,«Мантра Танжерин»,#DDDDDD,звук
Красный апельсин,✨,Общее действие,Эмоциональное действие,«Мантра Красный апельсин»,#DDDDDD,звук
Клементин,✨,Общее действие,Эмоциональное действие,«Мантра Клементин»,#DDDDDD,звук
Юзу,✨,Общее действие,Эмоциональное действие,«Мантра Юзу»,#DDDDDD,звук
Шисо,✨,Общее действие,Эмоциональное действие,«Мантра Шисо»,#DDDDDD,звук
Петитгрейн,✨,Общее действие,Эмоциональное действие,«Мантра Петитгрейн»,#DDDDDD,звук
Вербена,✨,Общее действие,Эмоциональное действие,«Мантра Вербена»,#DDDDDD,звук
Магнолия,✨,Общее действие,Эмоциональное действие,«Мантра Магнолия»,#DDDDDD,звук
Жасмин,✨,Общее действие,Эмоциональное действие,«Мантра Жасмин»,#DDDDDD,звук
Нероли,✨,Общее действие,Эмоциональное действие,«Мантра Нероли»,#DDDDDD,звук
Роза,✨,Общее действие,Эмоциональное действие,«Мантра Роза»,#DDDDDD,звук
Гардения,✨,Общее действие,Эмоциональное действие,«Мантра Гардения»,#DDDDDD,звук
Гибискус,✨,Общее действие,Эмоциональное действие,«Мантра Гибискус»,#DDDDDD,звук
Камфора,✨,Общее действие,Эмоциональное действие,«Мантра Камфора»,#DDDDDD,звук
Эстрагон,✨,Общее действие,Эмоциональное действие,«Мантра Эстрагон»,#DDDDDD,звук
Сельдерей,✨,Общее действие,Эмоциональное действие,«Мантра Сельдерей»,#DDDDDD,звук
Майская роза,✨,Общее действие,Эмоциональное действие,«Мантра Майская роза»,#DDDDDD,звук
Белый чай,✨,Общее действие,Эмоциональное действие,«Мантра Белый чай»,#DDDDDD,звук
Зелёный чай,✨,Общее действие,Эмоциональное действие,«Мантра Зелёный чай»,#DDDDDD,звук
Чёрный чай,✨,Общее действие,Эмоциональное действие,«Мантра Чёрный чай»,#DDDDDD,звук
Какао,✨,Общее действие,Эмоциональное действие,«Мантра Какао»,#DDDDDD,звук
Ваниль,✨,Общее действие,Эмоциональное действие,«Мантра Ваниль»,#DDDDDD,звук
Кофе,✨,Общее действие,Эмоциональное действие,«Мантра Кофе»,#DDDDDD,звук
Мята садовая,✨,Общее действие,Эмоциональное действие,«Мантра Мята садовая»,#DDDDDD,звук
Мята колосовая,✨,Общее действие,Эмоциональное действие,«Мантра Мята колосовая»,#DDDDDD,звук
Мята кудрявая,✨,Общее действие,Эмоциональное действие,«Мантра Мята кудрявая»,#DDDDDD,звук
Мята японская,✨,Общее действие,Эмоциональное действие,«Мантра Мята японская»,#DDDDDD,звук
Мелисса индийская,✨,Общее действие,Эмоциональное действие,«Мантра Мелисса индийская»,#DDDDDD,звук
Мелисса лимонная,✨,Общее действие,Эмоциональное действие,«Мантра Мелисса лимонная»,#DDDDDD,звук
Эвкалипт голубой,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт голубой»,#DDDDDD,звук
Эвкалипт лимонный,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт лимонный»,#DDDDDD,звук
Эвкалипт радиата,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт радиата»,#DDDDDD,звук
Эвкалипт смити,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт смити»,#DDDDDD,звук
Эвкалипт глобулус,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт глобулус»,#DDDDDD,звук
Эвкалипт поливы,✨,Общее действие,Эмоциональное действие,«Мантра Эвкалипт поливы»,#DDDDDD,звук
Ладан оманский,✨,Общее действие,Эмоциональное действие,«Мантра Ладан оманский»,#DDDDDD,звук
Ладан йеменский,✨,Общее действие,Эмоциональное действие,«Мантра Ладан йеменский»,#DDDDDD,звук
Мирра сладкая,✨,Общее действие,Эмоциональное действие,«Мантра Мирра сладкая»,#DDDDDD,звук
Мирра горькая,✨,Общее действие,Эмоциональное действие,«Мантра Мирра горькая»,#DDDDDD,звук
